source,case,arm,layout,width,fraction_bits,degree,reductions,status,deterministic_upper,ae_size,a_calls,conservative_cx,control_cancelled_cx,a_qubits,total_qubits
primary,D1,range_reduced,reused,40,24,12,3,ideal_plan,0.099191098539671326327798660980192567367808969337912135903368032206694049913711206,1024,34799,5663850890497,661448242771,1325,2658
primary,D1,range_reduced,retained,40,24,16,1,ideal_plan,0.098948155568555279184834819519216499763620382442802126972239137877415762534174887,1024,34799,4797992866789,560438051383,2087,4182
primary,D1,range_reduced,reused,40,24,16,1,ideal_plan,0.098948155568555279184834819519216499763620382442802126972239137877415762534174887,1024,34799,4797905007457,560350192051,1245,2498
primary,D1,range_reduced,retained,40,24,16,2,ideal_plan,0.099022414325476757399379426969903221544111691537009642584645615972825350615642623,1024,34799,5230969982149,610991250583,2167,4342
primary,D1,range_reduced,reused,40,24,16,2,ideal_plan,0.099022414325476757399379426969903221544111691537009642584645615972825350615642623,1024,34799,5230877948977,610899217411,1285,2578
primary,D1,range_reduced,retained,40,24,16,3,ideal_plan,0.099191098539672608980752530891778618944946724606780593050872329216316703904478249,1024,34799,5663947097509,661544449783,2247,4502
primary,D1,range_reduced,reused,40,24,16,3,ideal_plan,0.099191098539672608980752530891778618944946724606780593050872329216316703904478249,1024,34799,5663850890497,661448242771,1325,2658
primary,D1,range_reduced,retained,48,24,8,1,ideal_plan,0.098950170601786765073854711791138355628571100887511561796237806174327682051843057,1024,34799,5638356938757,658562591031,2287,4582
primary,D1,range_reduced,reused,48,24,8,1,ideal_plan,0.098950170601786765073854711791138355628571100887511561796237806174327682051843057,1024,34799,5638261566513,658467218787,1373,2754
primary,D1,range_reduced,retained,48,24,8,2,ideal_plan,0.099022421881765286909906833466096411403811672186020336144099712544849098418443870,1024,34799,6260511618117,731199513207,2383,4774
primary,D1,range_reduced,reused,48,24,8,2,ideal_plan,0.099022421881765286909906833466096411403811672186020336144099712544849098418443870,1024,34799,6260411237265,731099132355,1421,2850
primary,D1,range_reduced,retained,48,24,8,3,ideal_plan,0.099191098566362261110259039404496628880366432531001541253350331832879673368797831,1024,34799,6882666297477,803836435383,2479,4966
primary,D1,range_reduced,reused,48,24,8,3,ideal_plan,0.099191098566362261110259039404496628880366432531001541253350331832879673368797831,1024,34799,6882560908017,803731045923,1469,2946
primary,D1,range_reduced,retained,48,24,12,1,ideal_plan,0.098948149539093686629342507149572116679654167667893994272723504091075096755274817,1024,34799,6885878667525,804210594231,2479,4966
primary,D1,range_reduced,reused,48,24,12,1,ideal_plan,0.098948149539093686629342507149572116679654167667893994272723504091075096755274817,1024,34799,6885773278065,804105204771,1469,2946
primary,D1,range_reduced,retained,48,24,12,2,ideal_plan,0.099022414322786074917935566933958051727293487298136111607127769813676236031336749,1024,34799,7508033346885,876847516407,2575,5158
primary,D1,range_reduced,reused,48,24,12,2,ideal_plan,0.099022414322786074917935566933958051727293487298136111607127769813676236031336749,1024,34799,7507922948817,876737118339,1517,3042
primary,D1,range_reduced,retained,48,24,12,3,ideal_plan,0.099191098539671326327798660980192567367808969337912135903368032206694049913711206,1024,34799,8130188026245,949484438583,2671,5350
primary,D1,range_reduced,reused,48,24,12,3,ideal_plan,0.099191098539671326327798660980192567367808969337912135903368032206694049913711206,1024,34799,8130072619569,949369031907,1565,3138
primary,D1,range_reduced,retained,48,24,16,1,ideal_plan,0.098948155568555279184834819519216499763620382442802126972239137877415762534174887,1024,34799,6885878667525,804210594231,2479,4966
primary,D1,range_reduced,reused,48,24,16,1,ideal_plan,0.098948155568555279184834819519216499763620382442802126972239137877415762534174887,1024,34799,6885773278065,804105204771,1469,2946
primary,D1,range_reduced,retained,48,24,16,2,ideal_plan,0.099022414325476757399379426969903221544111691537009642584645615972825350615642623,1024,34799,7508033346885,876847516407,2575,5158
primary,D1,range_reduced,reused,48,24,16,2,ideal_plan,0.099022414325476757399379426969903221544111691537009642584645615972825350615642623,1024,34799,7507922948817,876737118339,1517,3042
primary,D1,range_reduced,retained,48,24,16,3,ideal_plan,0.099191098539672608980752530891778618944946724606780593050872329216316703904478249,1024,34799,8130188026245,949484438583,2671,5350
primary,D1,range_reduced,reused,48,24,16,3,ideal_plan,0.099191098539672608980752530891778618944946724606780593050872329216316703904478249,1024,34799,8130072619569,949369031907,1565,3138
primary,D2,workspace_only,retained,40,20,24,0,ideal_plan,0.18790249477262767443273665915320736244347631253796237490182823389156541600633954,2048,69615,19250343588301,2248245593175,3465,6939
primary,D2,workspace_only,reused,40,20,24,0,ideal_plan,0.18790249477262767443273665915320736244347631253796237490182823389156541600633954,2048,69615,19249891340497,2247793345371,1299,2607
primary,D2,range_reduced,retained,40,20,8,1,ideal_plan,0.19044329676811933653090309691078284029440254387353424137547439164151182455572611,2048,69615,15784850176013,1843901615895,3625,7259
primary,D2,range_reduced,reused,40,20,8,1,ideal_plan,0.19044329676811933653090309691078284029440254387353424137547439164151182455572611,2048,69615,15784372872929,1843424312811,1339,2687
primary,D2,range_reduced,retained,40,20,8,2,ideal_plan,0.19126587759310145366059601550164350817249803563722215158601882042923821405496226,2048,69615,17517555689933,2046163813335,3785,7579
primary,D2,range_reduced,reused,40,20,8,2,ideal_plan,0.19126587759310145366059601550164350817249803563722215158601882042923821405496226,2048,69615,17517053331569,2045661454971,1379,2767
primary,D2,range_reduced,retained,40,20,8,3,ideal_plan,0.19625377187200080780671030561462969180088609503734942502422804465417276993228275,2048,69615,19250261203853,2248426010775,3945,7899
primary,D2,range_reduced,reused,40,20,8,3,ideal_plan,0.19625377187200080780671030561462969180088609503734942502422804465417276993228275,2048,69615,19249733790209,2247898597131,1419,2847
primary,D2,range_reduced,retained,40,20,12,1,ideal_plan,0.19029708420122014262585048163633322177648046014683482488111237892489227837157532,2048,69615,17522909877197,2046787563735,3785,7579
primary,D2,range_reduced,reused,40,20,12,1,ideal_plan,0.19029708420122014262585048163633322177648046014683482488111237892489227837157532,2048,69615,17522407518833,2046285205371,1379,2767
primary,D2,range_reduced,retained,40,20,12,2,ideal_plan,0.19126618173183599379581301053044766236377744689855599181651581225777116831362689,2048,69615,19255615391117,2249049761175,3945,7899
primary,D2,range_reduced,reused,40,20,12,2,ideal_plan,0.19126618173183599379581301053044766236377744689855599181651581225777116831362689,2048,69615,19255087977473,2248522347531,1419,2847
primary,D2,range_reduced,retained,40,20,12,3,ideal_plan,0.19625377997691549970501771033340382942619792044489948438642428312470280291143846,2048,69615,20988320905037,2451311958615,4105,8219
primary,D2,range_reduced,reused,40,20,12,3,ideal_plan,0.19625377997691549970501771033340382942619792044489948438642428312470280291143846,2048,69615,20987768436113,2450759489691,1459,2927
primary,D2,range_reduced,retained,40,20,16,1,ideal_plan,0.19044549797343086923712613630794906463916956487527356739479023708534310237244244,2048,69615,17522909877197,2046787563735,3785,7579
primary,D2,range_reduced,reused,40,20,16,1,ideal_plan,0.19044549797343086923712613630794906463916956487527356739479023708534310237244244,2048,69615,17522407518833,2046285205371,1379,2767
primary,D2,range_reduced,retained,40,20,16,2,ideal_plan,0.19126624056800665840444081635975203730714696908937044304031089246152680993163021,2048,69615,19255615391117,2249049761175,3945,7899
primary,D2,range_reduced,reused,40,20,16,2,ideal_plan,0.19126624056800665840444081635975203730714696908937044304031089246152680993163021,2048,69615,19255087977473,2248522347531,1419,2847
primary,D2,range_reduced,retained,40,20,16,3,ideal_plan,0.19625378000374797428827756780372102840594401051731870301590973208116225006849384,2048,69615,20988320905037,2451311958615,4105,8219
primary,D2,range_reduced,reused,40,20,16,3,ideal_plan,0.19625378000374797428827756780372102840594401051731870301590973208116225006849384,2048,69615,20987768436113,2450759489691,1459,2927
