pt_idx,S0,K,T,r,sigma,ref_source,p,sim_price,ref_price,delta,oracle_queries
41,80.0,95.0,0.25,0.05,0.25,grid,0.01,2.232247260512349,0.6290625074009193,1.6031847531114298,13
42,120.0,105.0,1.5,0.05,0.3,grid,0,29.364679525852004,29.74684154096768,0.38216201511567505,15
42,120.0,105.0,1.5,0.05,0.3,grid,0.0001,29.661734875385797,29.74684154096768,0.08510666558188262,13
42,120.0,105.0,1.5,0.05,0.3,grid,0.001,29.987454543815222,29.74684154096768,0.2406130028475424,15
42,120.0,105.0,1.5,0.05,0.3,grid,0.005,30.7566103999112,29.74684154096768,1.00976885894352,15
42,120.0,105.0,1.5,0.05,0.3,grid,0.01,37.412987517436996,29.74684154096768,7.666145976469316,17
43,100.0,95.0,0.75,0.05,0.15,grid,0,10.658341726410988,10.51854658577316,0.13979514063782794,17
43,100.0,95.0,0.75,0.05,0.15,grid,0.0001,10.611674772138812,10.51854658577316,0.0931281863656519,17
43,100.0,95.0,0.75,0.05,0.15,grid,0.001,12.526218292020507,10.51854658577316,2.007671706247347,7
43,100.0,95.0,0.75,0.05,0.15,grid,0.005,11.284290101606434,10.51854658577316,0.7657435158332735,17
43,100.0,95.0,0.75,0.05,0.15,grid,0.01,21.07400962043547,10.51854658577316,10.555463034662308,7
44,100.0,110.0,2.0,0.05,0.2,grid,0,11.8471046342425,12.012649134328694,0.16554450008619348,13
44,100.0,110.0,2.0,0.05,0.2,grid,0.0001,11.865953913978071,12.012649134328694,0.14669522035062244,13
44,100.0,110.0,2.0,0.05,0.2,grid,0.001,13.504516439157257,12.012649134328694,1.4918673048285633,15
44,100.0,110.0,2.0,0.05,0.2,grid,0.005,15.933125760113807,12.012649134328694,3.9204766257851134,15
44,100.0,110.0,2.0,0.05,0.2,grid,0.01,16.321963136205216,12.012649134328694,4.309314001876523,15
45,120.0,110.0,2.0,0.05,0.2,grid,0,25.24387349968803,25.1031780787674,0.14069542092062903,17
45,120.0,110.0,2.0,0.05,0.2,grid,0.0001,25.437959729288277,25.1031780787674,0.3347816505208776,17
45,120.0,110.0,2.0,0.05,0.2,grid,0.001,26.72215102528437,25.1031780787674,1.618972946516969,17
45,120.0,110.0,2.0,0.05,0.2,grid,0.005,28.414086396193003,25.1031780787674,3.3109083174256035,17
45,120.0,110.0,2.0,0.05,0.2,grid,0.01,29.501964356452028,25.1031780787674,4.3987862776846285,17
46,90.0,95.0,2.0,0.05,0.2,grid,0,12.274580860469044,12.3863610708972,0.11178021042815622,13
46,90.0,95.0,2.0,0.05,0.2,grid,0.0001,12.901622197900734,12.3863610708972,0.5152611270035337,13
46,90.0,95.0,2.0,0.05,0.2,grid,0.001,12.560503621573185,12.3863610708972,0.1741425506759846,13
46,90.0,95.0,2.0,0.05,0.2,grid,0.005,15.414099428001064,12.3863610708972,3.027738357103864,15
46,90.0,95.0,2.0,0.05,0.2,grid,0.01,15.855050778029335,12.3863610708972,3.4686897071321354,15
47,80.0,90.0,1.5,0.05,0.2,grid,0,6.630737798531593,6.713654960117327,0.08291716158573426,13
47,80.0,90.0,1.5,0.05,0.2,grid,0.0001,6.852715755614557,6.713654960117327,0.1390607954972296,13
47,80.0,90.0,1.5,0.05,0.2,grid,0.001,7.061283410921208,6.713654960117327,0.3476284508038807,13
47,80.0,90.0,1.5,0.05,0.2,grid,0.005,9.978919186392472,6.713654960117327,3.2652642262751455,15
47,80.0,90.0,1.5,0.05,0.2,grid,0.01,10.80602489084269,6.713654960117327,4.092369930725362,15
48,120.0,100.0,1.0,0.05,0.2,grid,0,27.651882288222364,26.461423854520202,1.1904584337021618,7
48,120.0,100.0,1.0,0.05,0.2,grid,0.0001,26.373616127100416,26.461423854520202,0.08780772741978637,19
48,120.0,100.0,1.0,0.05,0.2,grid,0.001,26.050976829564316,26.461423854520202,0.4104470249558858,19
48,120.0,100.0,1.0,0.05,0.2,grid,0.005,23.248929279020164,26.461423854520202,3.2124945755000383,17
